ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV22,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV23,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV24,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV25,Bacteria,Bacillota,Clostridia,Peptococcales,Peptococcaceae,NA
ASV26,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV27,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter
ASV28,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter
ASV29,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV30,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV31,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV32,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV33,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV34,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV35,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV36,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV37,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV38,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV39,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV40,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,A2
ASV41,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV42,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter
ASV43,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV44,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster
ASV45,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV46,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV47,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV48,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Acutalibacter
ASV49,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter
ASV50,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,NA
ASV51,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Acutalibacter
ASV52,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV53,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV54,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV55,Bacteria,Bacillota,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma
ASV56,Bacteria,Bacillota,Bacilli,RF39,NA,NA
ASV57,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV58,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas
ASV59,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV60,Bacteria,Actinomycetota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
ASV61,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV62,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV63,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV64,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV65,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-004
ASV66,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV67,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV68,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium
ASV69,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV70,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Extibacter
ASV71,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV72,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae FCS020 group
ASV73,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV74,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV75,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV76,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV77,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV78,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Faecalimonas
ASV79,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus Saccharimonas
ASV80,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV81,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter
ASV82,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter
ASV83,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV84,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV85,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
ASV86,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV87,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA
ASV88,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV89,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-006
ASV90,Bacteria,Bacillota,Clostridia,Peptococcales,Peptococcaceae,NA
ASV91,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,A2
ASV92,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter
ASV93,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV94,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV95,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,A2
ASV96,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV97,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV98,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV99,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV100,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV101,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV102,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter
ASV103,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] xylanophilum group
ASV104,Bacteria,Bacillota,Clostridia,Clostridia UCG-014,NA,NA
ASV105,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV106,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae FCS020 group
ASV107,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,A2
ASV108,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV109,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV110,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,A2
ASV111,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-006
ASV112,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV113,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV114,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV115,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV116,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV117,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV118,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter
ASV119,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV120,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV121,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter
ASV122,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
ASV123,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV124,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,ASF356
ASV125,Bacteria,Bacillota,Bacilli,RF39,NA,NA
ASV126,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA
ASV127,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV128,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV129,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV130,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII UCG-001
ASV131,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia
ASV132,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV133,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV134,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV135,Bacteria,Bacillota,Clostridia,Christensenellales,Christensenellaceae,NA
ASV136,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV137,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV138,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV139,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV140,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV141,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV142,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV143,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV144,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV145,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV146,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
ASV147,Bacteria,Bacillota,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA
ASV148,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter
ASV149,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV150,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV151,Bacteria,Bacillota,Clostridia,Clostridia UCG-014,NA,NA
ASV152,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
ASV153,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV154,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV155,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV156,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV157,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV158,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV159,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV160,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV161,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella
ASV162,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,ASF356
ASV163,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV164,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV165,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
ASV166,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV167,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV168,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV169,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV170,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV171,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia
ASV172,Bacteria,Cyanobacteriota,Cyanobacteriia,Chloroplast,NA,NA
ASV173,Bacteria,Bacillota,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum
ASV174,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV175,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV176,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV177,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus Saccharimonas
ASV178,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV179,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV180,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV181,Bacteria,Bacillota,Clostridia,Clostridia UCG-014,NA,NA
ASV182,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
ASV183,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV184,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
ASV185,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas
ASV186,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV187,Bacteria,Cyanobacteriota,Cyanobacteriia,Chloroplast,NA,NA
ASV188,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus
ASV189,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,NA
ASV190,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV191,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV192,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV193,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV194,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Longibaculum
ASV195,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium
ASV196,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV197,Bacteria,Bacillota,Clostridia,Clostridia UCG-014,NA,NA
ASV198,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV199,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae FCS020 group
ASV200,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV201,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV202,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV203,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
ASV204,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas
ASV205,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV206,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] xylanophilum group
ASV207,Bacteria,Cyanobacteriota,Cyanobacteriia,Chloroplast,NA,NA
ASV208,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4B4 group
ASV209,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV210,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV211,Bacteria,Bacillota,Clostridia,Clostridia UCG-014,NA,NA
ASV212,Bacteria,Bacillota,Bacilli,RF39,NA,NA
ASV213,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV214,Bacteria,Bacillota,Clostridia,Clostridia UCG-014,NA,NA
ASV215,Bacteria,Bacillota,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV216,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Coriobacteriaceae UCG-002
ASV217,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
ASV218,Bacteria,Bacillota,Bacilli,RF39,NA,NA
